
D:\Program Files\adb>adb shell
# top -d 1
top -d 1


处理方式：模拟cpy_to_trout拷贝数据方式，6814byte数据当作4个pkt拷贝，每个pkt tx descripter和pkt各一次拷贝，
          每300次睡眠1ms，共循环1359次，耗时2001070us, 其中睡眠时间没算在内。
(count: 1359, cost: 2001070)


User 11%, System 8%, IOW 0%, IRQ 0%
User 12 + Nice 0 + Sys 9 + Idle 85 + IOW 0 + IRQ 0 + SIRQ 0 = 106

  PID CPU% S  #THR     VSS     RSS PCY UID      Name
 1153   0% S     1   1288K    708K  fg bluetoot /system/bin/dbus-daemon
 1154   0% S     1    832K    332K  fg root     /system/bin/installd
 1155   0% S     1   1644K    396K  fg keystore /system/bin/keystore
 1158   0% S     1   1084K    452K  fg root     /system/bin/akmd8975
 1160   0% S     1   2224K    300K  fg root     /system/xbin/busybox
 1161   0% S     1    692K    284K  fg log      /system/bin/logwrapper
 1162   0% S     1    692K    284K  fg log      /system/bin/logwrapper
 1164   0% S     1   2228K    352K  fg root     /system/xbin/busybox
 1165   0% S     1   2228K    348K  fg root     /system/xbin/busybox
 1169   0% S     1    900K    276K  fg root     sleep
 1235   0% S    28  28720K    672K  fg root     /opl/telephony/etc/xbin/phoneserver
 1236   0% S     1      0K      0K  fg root     flush-31:5
 1237   0% S     1      0K      0K  fg root     flush-31:6
 1238   0% S     1      0K      0K  fg root     flush-31:8
 1239   0% S     1      0K      0K  fg root     flush-31:11
 1240   0% S     1      0K      0K  fg root     flush-31:12
 1241   0% S     1      0K      0K  fg root     flush-31:13
 1242   0% S     1      0K      0K  fg root     flush-31:17
 1417   0% S     7 140200K  19444K  fg app_3    com.yeezonetech.firewall
 1419   0% S    21 167680K  31008K  fg radio    com.android.phone
 1422   0% S     7 161688K  28164K  bg app_1    com.android.launcher
 1428   0% S     7 158120K  25444K  fg system   com.android.settings
 1449   0% S     7 143576K  21436K  fg app_10   com.android.inputmethod.pinyin
 1488   0% S     9 177836K  34716K  bg app_10   android.process.acore
 1503   0% S     8 140728K  19064K  bg app_4    com.android.defcontainer
 1517   0% S     8 141616K  20756K  bg app_0    android.process.media
 1533   0% S     8 156392K  21664K  bg app_6    com.android.mms
 1553   0% S     7 140044K  18876K  bg system   com.spreadtrum.android.eng
 1560   0% S     8 145044K  21704K  bg app_18   com.android.email
 1570   0% S     7 140968K  19492K  bg app_22   com.sprdroid.note:remote
 1580   0% S     7 141704K  20272K  bg app_25   com.android.providers.calendar
 1591   0% S     8 143496K  21064K  bg app_26   com.android.browser
 1602   0% S     8 140736K  18700K  bg app_27   com.android.modemassert
 1611   0% S     7 140904K  20420K  bg system   com.android.deskclock
 1619   0% S     7 140936K  20344K  bg app_35   com.android.bluetooth
